SNP	Chromosome	GeneticDistance	Position	Pvalue	Qvalue	N	NullLogLike	AltLogLike	SNPWeight	SNPWeightSE	OddsRatio	WaldStat	heritability	NullGeneticVar	NullResidualVar	NullBias
COG2740	26	0.000000	1055	2.5806011927413722E-02	8.0906200245304516E-01	1338	-8.8193353861016203E+02	-8.8271995736653639E+02	3.5553520909404321E-02	1.5931772520033801E-02	1.0709591610536122E+00	4.9800882448039525E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG2884	26	0.000000	1199	2.7291495888089434E-02	8.0906200245304516E-01	1338	-8.8193353861016203E+02	-8.8284217839345422E+02	3.1013353122980095E-02	1.4034771603392976E-02	1.0688510804238136E+00	4.8830002810860913E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG2027	26	0.000000	342	2.7353387378812280E-02	8.0906200245304516E-01	1338	-8.8193353861016203E+02	-8.8263204987436757E+02	3.9652532731062728E-02	1.7951558795742981E-02	1.0437642338094093E+00	4.8790754364975024E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG1686	26	0.000000	1	2.7519692240400583E-02	8.0906200245304516E-01	1338	-8.8193353861016203E+02	-8.8281029689216098E+02	-3.7309924923680307E-02	1.6909215104768574E-02	9.1910771747438302E-01	4.8685748633899273E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG1687	26	0.000000	2	2.7519692240400583E-02	8.0906200245304516E-01	1338	-8.8193353861016203E+02	-8.8281029689216098E+02	-3.7309924923680307E-02	1.6909215104768574E-02	9.1910771747438302E-01	4.8685748633899273E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG2922	26	0.000000	1237	2.7519692240400583E-02	8.0906200245304516E-01	1338	-8.8193353861016203E+02	-8.8281029689216098E+02	-3.7309924923680307E-02	1.6909215104768574E-02	9.1910771747438302E-01	4.8685748633899273E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG2923	26	0.000000	1238	2.7519692240400583E-02	8.0906200245304516E-01	1338	-8.8193353861016203E+02	-8.8281029689216098E+02	-3.7309924923680307E-02	1.6909215104768574E-02	9.1910771747438302E-01	4.8685748633899273E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG1984	26	0.000000	299	2.9179684903707204E-02	8.0906200245304516E-01	1338	-8.8193353861016203E+02	-8.8253787116262288E+02	4.4202873417917156E-02	2.0244949497218206E-02	1.0468026774251429E+00	4.7672464928206555E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG2005	26	0.000000	320	3.1328321509083115E-02	8.0906200245304516E-01	1338	-8.8193353861016203E+02	-8.8264113061602450E+02	4.2395985077136725E-02	1.9671944399975647E-02	1.0457384956055680E+00	4.6446702305302914E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG1860	26	0.000000	175	3.3288965334828058E-02	8.0906200245304516E-01	1338	-8.8193353861016203E+02	-8.8220635094871034E+02	-7.0144860174622126E-02	3.2919712345797159E-02	9.3199420511212261E-01	4.5402487168398036E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG2355	26	0.000000	670	3.3312687351802595E-02	8.0906200245304516E-01	1338	-8.8193353861016203E+02	-8.8274453079821399E+02	4.1399604581359800E-02	1.9431883766584470E-02	1.0601580051311863E+00	4.5390250348175867E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG2874	26	0.000000	1189	3.5480118977844512E-02	8.0906200245304516E-01	1338	-8.8193353861016203E+02	-8.8310002134048148E+02	-2.8651545147281167E-02	1.3611369782356346E-02	9.4068939396424234E-01	4.4309049166704479E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG1740	26	0.000000	55	3.6470422945733383E-02	8.0906200245304516E-01	1338	-8.8193353861016203E+02	-8.8237560169470669E+02	-6.2906465417622029E-02	3.0044889428741756E-02	9.2823935845736860E-01	4.3837860208122592E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG2733	26	0.000000	1048	3.6906753703776128E-02	8.0906200245304516E-01	1338	-8.8193353861016203E+02	-8.8277175132822072E+02	-4.3349066794431936E-02	2.0752230756434301E-02	9.2017438190351519E-01	4.3634492503318985E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG2348	26	0.000000	663	3.8246527969875543E-02	8.0906200245304516E-01	1338	-8.8193353861016203E+02	-8.8293008241759662E+02	3.7914758110728780E-02	1.8278711910187800E-02	1.0544914828581937E+00	4.3025448210242194E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG1737	26	0.000000	52	4.1125657772412609E-02	8.0906200245304516E-01	1338	-8.8193353861016203E+02	-8.8247154407709320E+02	-6.1546642966603449E-02	3.0107363793534053E-02	9.2973474158053426E-01	4.1789125069165651E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG1766	26	0.000000	81	4.3905125339485609E-02	8.0906200245304516E-01	1338	-8.8193353861016203E+02	-8.8281165662493993E+02	-4.4571633713039308E-02	2.2099022510784536E-02	9.5325860725899936E-01	4.0679066398390082E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG2169	26	0.000000	484	4.4852884778065281E-02	8.0906200245304516E-01	1338	-8.8193353861016203E+02	-8.8292120094648897E+02	3.9955731513411023E-02	1.9899073062497632E-02	1.0509656206450322E+00	4.0317396447074225E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG1742	26	0.000000	57	4.5494202933766686E-02	8.0906200245304516E-01	1338	-8.8193353861016203E+02	-8.8257297749478221E+02	-6.0087927369182913E-02	3.0015010548401937E-02	9.3134155482323289E-01	4.0077206970978141E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG2221	26	0.000000	536	4.6137560864416165E-02	8.0906200245304516E-01	1338	-8.8193353861016203E+02	-8.8272572179019846E+02	4.9280801144137978E-02	2.4689886988189007E-02	1.0653598365397681E+00	3.9839815150696820E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG1767	26	0.000000	82	4.7475440183180978E-02	8.0906200245304516E-01	1338	-8.8193353861016203E+02	-8.8288208478994193E+02	-4.3613857678905951E-02	2.1984303398872744E-02	9.5429554400346639E-01	3.9357144936490154E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG2294	26	0.000000	609	4.8637912268757702E-02	8.0906200245304516E-01	1338	-8.8193353861016203E+02	-8.8298578315918803E+02	3.9334713099600079E-02	1.9930870978185647E-02	1.0539923243739204E+00	3.8949278589482699E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG1858	26	0.000000	173	4.9024147185429204E-02	8.0906200245304516E-01	1338	-8.8193353861016203E+02	-8.8252507769588476E+02	-6.5522227787967777E-02	3.3256997854387522E-02	9.3633821186030819E-01	3.8816039901848014E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG1733	26	0.000000	48	5.1102765676931068E-02	8.0906200245304516E-01	1338	-8.8193353861016203E+02	-8.8264795902785136E+02	-5.9322604482043476E-02	3.0384900467183808E-02	9.3211209191532673E-01	3.8117532891020365E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG1734	26	0.000000	49	5.1102765676931068E-02	8.0906200245304516E-01	1338	-8.8193353861016203E+02	-8.8264795902785136E+02	-5.9322604482043476E-02	3.0384900467183808E-02	9.3211209191532673E-01	3.8117532891020365E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG1735	26	0.000000	50	5.1102765676931068E-02	8.0906200245304516E-01	1338	-8.8193353861016203E+02	-8.8264795902785136E+02	-5.9322604482043476E-02	3.0384900467183808E-02	9.3211209191532673E-01	3.8117532891020365E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG1736	26	0.000000	51	5.1102765676931068E-02	8.0906200245304516E-01	1338	-8.8193353861016203E+02	-8.8264795902785136E+02	-5.9322604482043476E-02	3.0384900467183808E-02	9.3211209191532673E-01	3.8117532891020365E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG1773	26	0.000000	88	5.1115102908885317E-02	8.0906200245304516E-01	1338	-8.8193353861016203E+02	-8.8256602002870966E+02	6.3880264654805508E-02	3.2721064171831432E-02	1.0692683420217197E+00	3.8113477360554056E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG1797	26	0.000000	112	5.2198448179795187E-02	8.0906200245304516E-01	1338	-8.8193353861016203E+02	-8.8279960742451362E+02	-4.9759933877410595E-02	2.5606846039532290E-02	9.5053824735355774E-01	3.7761340979946412E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG1798	26	0.000000	113	5.2198448179795187E-02	8.0906200245304516E-01	1338	-8.8193353861016203E+02	-8.8279960742451362E+02	-4.9759933877410595E-02	2.5606846039532290E-02	9.5053824735355774E-01	3.7761340979946412E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG1799	26	0.000000	114	5.2198448179795187E-02	8.0906200245304516E-01	1338	-8.8193353861016203E+02	-8.8279960742451362E+02	-4.9759933877410595E-02	2.5606846039532290E-02	9.5053824735355774E-01	3.7761340979946412E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG1800	26	0.000000	115	5.2198448179795187E-02	8.0906200245304516E-01	1338	-8.8193353861016203E+02	-8.8279960742451362E+02	-4.9759933877410595E-02	2.5606846039532290E-02	9.5053824735355774E-01	3.7761340979946412E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG1789	26	0.000000	104	5.4789097835714083E-02	8.0906200245304516E-01	1338	-8.8193353861016203E+02	-8.8285366617046486E+02	-4.8401233611347225E-02	2.5179712282152600E-02	9.5178333864299880E-01	3.6949735581427574E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG2280	26	0.000000	595	5.7060111773227361E-02	8.0906200245304516E-01	1338	-8.8193353861016203E+02	-8.8323936329902335E+02	3.4017657466402791E-02	1.7861755916053882E-02	1.0462766493488704E+00	3.6271081639741012E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG2824	26	0.000000	1139	5.8083896443617514E-02	8.0906200245304516E-01	1338	-8.8193353861016203E+02	-8.8349458239976491E+02	-2.6345124138637259E-02	1.3890025504828540E-02	9.4742649772350196E-01	3.5974470655727613E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG1785	26	0.000000	100	5.9429281095698859E-02	8.0906200245304516E-01	1338	-8.8193353861016203E+02	-8.8291884822487600E+02	-4.7637556280683301E-02	2.5250325730240469E-02	9.5251112186829279E-01	3.5593031580395822E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG1787	26	0.000000	102	5.9429281095698859E-02	8.0906200245304516E-01	1338	-8.8193353861016203E+02	-8.8291884822487600E+02	-4.7637556280683301E-02	2.5250325730240469E-02	9.5251112186829279E-01	3.5593031580395822E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG2030	26	0.000000	345	6.0238538220426456E-02	8.0906200245304516E-01	1338	-8.8193353861016203E+02	-8.8322105005977073E+02	3.5405185971272672E-02	1.8826156241117623E-02	1.0394262508636918E+00	3.5367995168602770E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG2571	26	0.000000	886	6.0284967038979627E-02	8.0906200245304516E-01	1338	-8.8193353861016203E+02	-8.8315380401568336E+02	3.7846382189112342E-02	2.0127870575226081E-02	1.0671832623374780E+00	3.5355182151015532E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG1688	26	0.000000	3	6.2421443816858747E-02	8.0906200245304516E-01	1338	-8.8193353861016203E+02	-8.8342993321937081E+02	-2.9487791423667399E-02	1.5812413869409413E-02	9.4225424152727111E-01	3.4776682159893699E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG2121	26	0.000000	436	6.3945952594212735E-02	8.0906200245304516E-01	1338	-8.8193353861016203E+02	-8.8271531362688506E+02	6.1748039102686177E-02	3.3303615714924330E-02	1.0783231280426595E+00	3.4376651206046467E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG2534	26	0.000000	849	6.5875417121066149E-02	8.0906200245304516E-01	1338	-8.8193353861016203E+02	-8.8312547204615396E+02	4.1276498766435785E-02	2.2423372163073878E-02	1.0714124723218812E+00	3.3884716250905225E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG2219	26	0.000000	534	6.6781565019929365E-02	8.0906200245304516E-01	1338	-8.8193353861016203E+02	-8.8346402275729872E+02	2.9743965522592911E-02	1.6212441850530262E-02	1.0388912517358504E+00	3.3658974127882368E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG2594	26	0.000000	909	6.6915328247236908E-02	8.0906200245304516E-01	1338	-8.8193353861016203E+02	-8.8324775750050389E+02	3.6671026418532079E-02	1.9997970546940757E-02	1.0662741031927350E+00	3.3625928342795386E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG1744	26	0.000000	59	6.9403517970044043E-02	8.0906200245304516E-01	1338	-8.8193353861016203E+02	-8.8291070850960773E+02	-5.4402324530755886E-02	2.9936700229626440E-02	9.3769841934399689E-01	3.3023800847053693E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG1782	26	0.000000	97	7.1762059249906113E-02	8.0906200245304516E-01	1338	-8.8193353861016203E+02	-8.8302860260833404E+02	-4.7488781050471086E-02	2.6352567518646643E-02	9.5245509232660464E-01	3.2474029055723550E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG2220	26	0.000000	535	7.2101840939065256E-02	8.0906200245304516E-01	1338	-8.8193353861016203E+02	-8.8316125334335698E+02	-4.3064214458963683E-02	2.3925882930024935E-02	9.4633771791379351E-01	3.2396426840923724E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG2052	26	0.000000	367	7.2910798865547619E-02	8.0906200245304516E-01	1338	-8.8193353861016203E+02	-8.8316677685778882E+02	-4.2212543154038933E-02	2.3519296060356049E-02	9.5420204780754336E-01	3.2213239178911874E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG2053	26	0.000000	368	7.2910798865547619E-02	8.0906200245304516E-01	1338	-8.8193353861016203E+02	-8.8316677685778882E+02	-4.2212543154038933E-02	2.3519296060356049E-02	9.5420204780754336E-01	3.2213239178911874E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG2054	26	0.000000	369	7.2910798865547619E-02	8.0906200245304516E-01	1338	-8.8193353861016203E+02	-8.8316677685778882E+02	-4.2212543154038933E-02	2.3519296060356049E-02	9.5420204780754336E-01	3.2213239178911874E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG2055	26	0.000000	370	7.2910798865547619E-02	8.0906200245304516E-01	1338	-8.8193353861016203E+02	-8.8316677685778882E+02	-4.2212543154038933E-02	2.3519296060356049E-02	9.5420204780754336E-01	3.2213239178911874E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG1777	26	0.000000	92	7.3043387332832208E-02	8.0906200245304516E-01	1338	-8.8193353861016203E+02	-8.8320777155034023E+02	-4.0137823424693214E-02	2.2373694401264160E-02	9.5914692724006145E-01	3.2183422933033650E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG1784	26	0.000000	99	7.5436813645287967E-02	8.0906200245304516E-01	1338	-8.8193353861016203E+02	-8.8311324056486876E+02	-4.5061971326742334E-02	2.5327317267985636E-02	9.5500602368694054E-01	3.1654976279183420E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG1704	26	0.000000	19	7.6241057006209312E-02	8.0906200245304516E-01	1338	-8.8193353861016203E+02	-8.8325594453848532E+02	-4.1940636575000530E-02	2.3637834881719989E-02	9.3805678852805108E-01	3.1481444148908428E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG2218	26	0.000000	533	7.8924223473409938E-02	8.0906200245304516E-01	1338	-8.8193353861016203E+02	-8.8276473839893379E+02	-6.5341375916340483E-02	3.7161527284673715E-02	9.1995247337062291E-01	3.0916437296723487E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
COG1803	26	0.000000	118	7.9208928461849640E-02	8.0906200245304516E-01	1338	-8.8193353861016203E+02	-8.8250115067321678E+02	8.6144741862037633E-02	4.9039605855751942E-02	1.0915665810881332E+00	3.0857703796598290E+00	1.0922996919669498E-01	2.5821587754778042E-02	2.1057496114729141E-01	1.3692077727952168E+00
